name,sport_type,distance_km,moving_time_min,elapsed_time_min,elevation_gain_m,average_heartrate,max_heartrate,average_speed_kmh,start_date,start_latlng,end_latlng,kudos_count,suffer_score
Afternoon workout ğŸ’ª,WeightTraining,0.0,48.5,48.5,0,n/a,n/a,0.0,2025-04-24,[],[],3,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,111.5,111.5,0,n/a,n/a,0.0,2025-04-23,[],[],2,n/a
Evening Run,Run,5.23,30.1,30.2,33.0,185.4,200.0,10.41,2025-04-22,"[52.156127, 21.030813]","[52.156736, 21.028873]",8,95.0
Evening workout ğŸ‹ï¸,WeightTraining,0.0,94.6,94.6,0,n/a,n/a,0.0,2025-04-21,[],[],2,n/a
Morning Run,Run,5.1,29.3,29.6,31.0,183.4,200.0,10.44,2025-04-21,"[52.156189, 21.030913]","[52.157419, 21.027581]",4,88.0
Morning workout â˜€ï¸,WeightTraining,0.0,68.6,68.6,0,n/a,n/a,0.0,2025-04-19,[],[],2,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,79.0,79.0,0,n/a,n/a,0.0,2025-04-18,[],[],5,n/a
Lunch Run,Run,4.04,22.2,25.9,14.0,190.4,209.0,10.91,2025-04-17,"[52.156015, 21.030741]","[52.161952, 21.024783]",6,76.0
Afternoon workout ğŸ’ª,WeightTraining,0.0,108.2,108.2,0,n/a,n/a,0.0,2025-04-14,[],[],1,n/a
Lunch Run,Run,5.1,29.2,29.4,27.8,190.7,208.0,10.48,2025-04-13,"[52.156113, 21.030801]","[52.157372, 21.027646]",5,104.0
Morning workout â˜€ï¸,WeightTraining,0.0,91.2,91.2,0,n/a,n/a,0.0,2025-04-12,[],[],3,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,101.2,101.2,0,n/a,n/a,0.0,2025-04-11,[],[],1,n/a
Paris RunğŸ¥–ğŸ‡«ğŸ‡·,Run,5.06,29.4,33.3,27.2,n/a,n/a,10.3,2025-04-05,"[48.819636, 2.326006]","[48.819666, 2.326073]",5,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,107.9,107.9,0,n/a,n/a,0.0,2025-04-02,[],[],3,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,109.3,109.3,0,n/a,n/a,0.0,2025-03-31,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,77.6,77.6,0,n/a,n/a,0.0,2025-03-29,[],[],1,n/a
Late night workout ğŸŒ™,WeightTraining,0.0,108.6,108.6,0,n/a,n/a,0.0,2025-03-28,[],[],4,n/a
Afternoon Run,Run,5.22,29.1,29.3,38.8,185.1,207.0,10.77,2025-03-27,"[52.156133, 21.030953]","[52.156683, 21.028956]",4,93.0
Afternoon workout ğŸ’ª,WeightTraining,0.0,94.0,94.0,0,n/a,n/a,0.0,2025-03-26,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,107.2,107.2,0,n/a,n/a,0.0,2025-03-24,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,90.3,90.3,0,n/a,n/a,0.0,2025-03-22,[],[],2,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,72.0,72.0,0,n/a,n/a,0.0,2025-03-21,[],[],1,n/a
Lunch Run,Run,5.51,32.2,32.4,34.2,182.1,205.0,10.26,2025-03-20,"[52.156318, 21.031132]","[52.155207, 21.031961]",3,87.0
Evening workout ğŸ‹ï¸,WeightTraining,0.0,62.9,62.9,0,n/a,n/a,0.0,2025-03-19,[],[],1,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,108.1,108.1,0,n/a,n/a,0.0,2025-03-17,[],[],4,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,45.6,45.6,0,n/a,n/a,0.0,2025-03-14,[],[],1,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,90.0,90.0,0,n/a,n/a,0.0,2025-03-13,[],[],1,n/a
Late night workout ğŸŒ™,WeightTraining,0.0,75.8,75.8,0,n/a,n/a,0.0,2025-03-11,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,103.2,103.2,0,n/a,n/a,0.0,2025-03-10,[],[],2,n/a
Morning workout â˜€ï¸,WeightTraining,0.0,62.0,62.0,0,n/a,n/a,0.0,2025-03-08,[],[],1,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,111.3,111.3,0,n/a,n/a,0.0,2025-03-03,[],[],1,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,90.3,90.3,0,n/a,n/a,0.0,2025-03-02,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,74.2,74.2,0,n/a,n/a,0.0,2025-02-27,[],[],3,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,95.6,95.6,0,n/a,n/a,0.0,2025-02-25,[],[],2,n/a
Late night workout ğŸŒ™,WeightTraining,0.0,87.6,87.6,0,n/a,n/a,0.0,2025-02-24,[],[],2,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,26.63,96.8,228.8,2292.0,n/a,n/a,16.51,2025-02-22,"[46.24186, 10.831027]","[46.301545, 10.81169]",5,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,39.03,125.0,268.2,2895.9,n/a,n/a,18.73,2025-02-21,"[46.290036, 10.813507]","[46.30453, 10.812561]",2,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,50.46,174.7,347.6,4353.6,n/a,n/a,17.33,2025-02-20,"[46.301356, 10.811895]","[46.301538, 10.811675]",3,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,28.12,119.2,341.2,2457.0,n/a,n/a,14.15,2025-02-19,"[46.299955, 10.812023]","[46.300688, 10.811611]",4,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,48.09,164.9,355.8,4184.1,n/a,n/a,17.5,2025-02-18,"[46.301563, 10.811921]","[46.301504, 10.811593]",4,n/a
Slopes - A day snowboarding at Campiglio Dolomiti di Brenta,Snowboard,26.86,90.2,278.4,1994.0,n/a,n/a,17.86,2025-02-17,"[46.225648, 10.875117]","[46.304348, 10.811557]",5,n/a
Slopes - A morning snowboarding at Campiglio Dolomiti di Brenta,Snowboard,17.58,61.2,106.7,1477.4,n/a,n/a,17.22,2025-02-17,"[46.290107, 10.813397]","[46.225703, 10.876019]",5,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,61.6,61.6,0,n/a,n/a,0.0,2025-02-15,[],[],2,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,85.4,85.4,0,n/a,n/a,0.0,2025-02-14,[],[],2,n/a
Lunch Run,Run,13.06,81.2,85.9,93.4,184.6,201.0,9.65,2025-02-12,"[52.142287, 21.032412]","[52.139014, 21.034608]",6,251.0
Evening workout ğŸ‹ï¸,WeightTraining,0.0,84.1,84.1,0,n/a,n/a,0.0,2025-02-11,[],[],1,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,111.0,111.0,0,n/a,n/a,0.0,2025-02-10,[],[],2,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,129.7,129.7,0,n/a,n/a,0.0,2025-02-09,[],[],0,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,93.0,93.0,0,n/a,n/a,0.0,2025-02-08,[],[],1,n/a
Afternoon workout ğŸ’ª,WeightTraining,0.0,94.0,94.0,0,n/a,n/a,0.0,2025-02-05,[],[],1,n/a
Morning workout â˜€ï¸,WeightTraining,0.0,96.8,96.8,0,n/a,n/a,0.0,2025-02-03,[],[],0,n/a
Leg DayğŸ’€,WeightTraining,0.0,84.1,84.1,0,n/a,n/a,0.0,2025-02-02,[],[],2,n/a
Morning workout â˜€ï¸,WeightTraining,0.0,90.4,90.4,0,n/a,n/a,0.0,2025-01-30,[],[],2,n/a
Evening workout ğŸ‹ï¸,WeightTraining,0.0,79.0,79.0,0,n/a,n/a,0.0,2025-01-28,[],[],3,n/a
Nogi naoliwioneâ›½ï¸ğŸƒâ€â™‚ï¸,Run,10.04,58.8,60.2,42.6,183.4,194.0,10.25,2025-01-26,"[52.156155, 21.030903]","[52.156084, 21.029653]",10,178.0
Evening Run,Run,6.62,36.1,39.8,29.4,188.6,205.0,10.99,2025-01-18,"[52.156558, 21.031072]","[52.156237, 21.034136]",10,122.0
Morning Run,Run,5.22,29.8,30.0,31.6,182.6,197.0,10.5,2024-12-03,"[52.15624, 21.031012]","[52.156459, 21.029197]",2,86.0
Odgruzowywanie Run,Run,5.05,27.2,27.4,29.6,183.0,196.0,11.14,2024-11-09,"[52.156113, 21.030779]","[52.157557, 21.027341]",4,82.0
Afternoon Rock Climb,RockClimbing,0.0,91.8,91.8,0,126.7,181.0,0.0,2024-10-12,[],[],0,30.0
46. Maraton warszawski,Run,42.62,289.8,290.4,185.8,177.9,194.0,8.83,2024-09-29,"[52.23466428928077, 21.006018379703164]","[52.23479496315122, 21.00660846568644]",15,713.0
Afternoon Run,Run,6.03,36.6,37.9,32.4,174.5,188.0,9.89,2024-09-27,"[52.15613566339016, 21.030834428966045]","[52.156259128823876, 21.02944797836244]",1,76.0
Evening Run,Run,6.02,39.4,39.4,34.4,162.7,179.0,9.17,2024-09-25,"[52.156281089410186, 21.030958564952016]","[52.157510463148355, 21.027442356571555]",4,55.0
Lunch Run,Run,12.11,76.2,78.2,76.4,180.8,200.0,9.54,2024-09-24,"[52.15615225955844, 21.030879355967045]","[52.15006683021784, 21.03181234560907]",3,205.0
Evening Run,Run,8.54,56.9,57.8,45.4,160.2,175.0,9.01,2024-09-21,"[52.1561664249748, 21.030902825295925]","[52.15578303672373, 21.030058600008488]",3,74.0
Evening Run,Run,11.04,70.1,76.5,77.8,170.1,187.0,9.45,2024-09-20,"[52.15615418739617, 21.030885810032487]","[52.15631880797446, 21.031486289575696]",1,128.0
Lunch Run,Run,5.21,32.9,32.9,34.6,169.0,193.0,9.5,2024-09-18,"[52.15615678578615, 21.03080869652331]","[52.15692289173603, 21.028490010648966]",2,58.0
12x200x200,Run,15.06,98.5,104.4,87.6,171.6,195.0,9.17,2024-09-16,"[52.15637370944023, 21.030886312946677]","[52.166806580498815, 21.044673873111606]",2,185.0
Rytmy,Run,12.24,72.2,79.4,90.8,176.3,200.0,10.18,2024-09-13,"[52.15627740137279, 21.030957056209445]","[52.15696102939546, 21.0297972522676]",2,163.0
Lunch Run,Run,12.22,75.3,79.0,88.6,176.8,191.0,9.74,2024-09-11,"[52.1562079153955, 21.030950183048844]","[52.15088674798608, 21.029194006696343]",3,180.0
Podbiegi: 10x200x200 + Rytmy: 3x200x200,Run,11.28,86.0,87.6,152.8,160.2,190.0,7.87,2024-09-09,[],[],1,99.0
Evening Ride,Ride,2.41,10.8,11.8,2.4,132.3,146.0,13.46,2024-09-06,"[52.14086844585836, 21.056330082938075]","[52.156834127381444, 21.033901954069734]",2,2.0
Afternoon Run,Run,15.17,98.4,107.4,105.6,168.3,183.0,9.24,2024-09-06,"[52.15612594038248, 21.030743652954698]","[52.1400167606771, 21.057713851332664]",2,172.0
Evening Run,Run,25.11,173.8,177.7,175.2,164.0,185.0,8.67,2024-09-05,"[52.15628896839917, 21.031065015122294]","[52.15723553672433, 21.029281429946423]",1,261.0
2x4km,Run,12.07,70.8,80.0,19.2,180.3,199.0,10.23,2024-09-03,"[52.15643079020083, 21.031166603788733]","[52.145634312182665, 21.051066499203444]",2,181.0
Easy run after leg day,Run,10.06,63.5,64.4,52.4,170.4,184.0,9.51,2024-09-02,"[52.15610800310969, 21.030703922733665]","[52.15343174524605, 21.030046865344048]",3,115.0
6x1200m r. 3â€™,Run,15.13,93.4,102.0,53.0,182.2,210.0,9.72,2024-08-30,"[52.156478818506, 21.031520990654826]","[52.15579837560654, 21.02997377514839]",3,246.0
Morning Run,Run,8.15,49.0,49.8,37.8,175.2,200.0,9.98,2024-08-29,"[52.156143290922046, 21.031044395640492]","[52.1552218683064, 21.032513324171305]",4,110.0
8x800m,Run,13.62,87.9,98.3,91.8,171.5,200.0,9.3,2024-08-27,"[52.156101716682315, 21.030837949365377]","[52.14279603213072, 21.038898155093193]",3,157.0
Morning Run,Run,12.82,79.4,82.1,80.0,173.8,185.0,9.69,2024-08-26,"[52.156312353909016, 21.031016316264868]","[52.15565278194845, 21.030216179788113]",2,160.0
"5x200x200 podbieg, wilgotnoÅ›Ä‡ ze 200%",Run,7.22,48.0,53.0,83.6,158.1,194.0,9.03,2024-08-19,"[52.156049413606524, 21.030765026807785]","[52.16403971426189, 21.02224356494844]",2,55.0
"10x200x200, sauna runğŸŒ¡ï¸",Run,8.02,51.6,52.4,58.6,173.3,202.0,9.32,2024-08-15,"[52.15612778440118, 21.030708281323314]","[52.156399777159095, 21.029298612847924]",2,112.0
Evening Ride,Ride,20.53,90.8,234.4,65.6,126.1,162.0,13.57,2024-08-13,"[52.15609459206462, 21.028444916009903]","[52.15642299503088, 21.030972730368376]",3,22.0
Afternoon Run,Run,4.0,24.0,24.0,0,n/a,n/a,10.0,2024-08-13,[],[],3,n/a
BNP,Run,6.07,34.2,37.7,35.8,180.0,207.0,10.65,2024-08-13,"[52.16721083968878, 21.02889862842858]","[52.1575978025794, 21.02724513038993]",4,88.0
SkrzyczneğŸ¥¾,Hike,13.43,199.6,272.3,856.4,131.4,169.0,4.04,2024-08-11,"[49.71800942905247, 19.034013468772173]","[49.717869870364666, 19.034862890839577]",0,71.0
Bieg zbÃ³ja,Run,25.48,251.9,267.3,1591.4,173.9,191.0,6.07,2024-08-10,"[49.77789519354701, 19.054147638380527]","[49.77799636311829, 19.054302535951138]",5,509.0
10x200x200,Run,7.77,55.5,59.8,50.8,168.0,192.0,8.4,2024-08-08,"[52.15580935589969, 21.030560424551368]","[52.15578421019018, 21.030051056295633]",0,90.0
10x400 r. 2â€™,Run,12.32,78.4,81.9,82.4,171.4,198.0,9.42,2024-08-06,"[52.14289527386427, 21.038886168971658]","[52.15514827519655, 21.029283022508025]",1,146.0
Afternoon Run,Run,2.1,12.7,13.5,41.6,154.2,168.0,9.93,2024-08-06,"[52.15620020404458, 21.03086988441646]","[52.14291044510901, 21.038995385169983]",1,12.0
Evening Walk,Walk,2.06,24.0,41.2,2.2,112.5,127.0,5.14,2024-08-05,"[52.205185974016786, 21.023075971752405]","[52.196313394233584, 21.01392276585102]",1,4.0
LuÅºno w deszczu + 10x200x200,Run,12.65,74.5,81.6,61.2,172.1,191.0,10.18,2024-08-05,"[52.1564928162843, 21.031215889379382]","[52.157603837549686, 21.027300199493766]",3,144.0
Afternoon Run,Run,5.01,22.9,23.5,15.9,n/a,n/a,13.11,2024-08-03,"[52.15626323595643, 21.031032325699925]","[52.15769830159843, 21.0261604283005]",1,n/a
10x200x200 w saunie,Run,6.18,37.3,38.6,17.6,174.4,199.0,9.94,2024-08-01,"[52.15619425289333, 21.03080341592431]","[52.16746640391648, 21.026062527671456]",3,81.0
Lunch Run,Run,2.52,17.6,17.6,18.4,173.1,183.0,8.6,2024-07-31,"[52.16518602333963, 21.02391860447824]","[52.155664348974824, 21.030222717672586]",0,34.0
Podbieg 10x200x200 umieranie,Run,7.56,64.4,77.9,169.2,158.8,193.0,7.04,2024-07-31,"[52.15622157789767, 21.030928809195757]","[52.16405890882015, 21.022464763373137]",0,65.0
"8km OWB 1, 5x 1200m r. 2â€™",Run,14.51,85.5,88.8,114.4,176.4,207.0,10.19,2024-07-29,"[52.15619525872171, 21.031008856371045]","[52.157568633556366, 21.027344623580575]",2,199.0
Lunch Run,Run,11.21,72.2,72.9,49.2,171.3,187.0,9.31,2024-07-28,"[52.156089982017875, 21.031016148626804]","[52.1557776723057, 21.03007636964321]",1,135.0
Evening Run,Run,6.04,37.8,38.0,36.4,169.5,181.0,9.59,2024-07-27,"[52.15625334531069, 21.03086208924651]","[52.15757760219276, 21.027314867824316]",0,67.0
10x200,Run,5.84,38.2,38.8,102.0,162.9,197.0,9.16,2024-07-23,"[53.89127125963569, 21.288870396092534]","[53.89127545058727, 21.289162756875157]",4,58.0
Lunch Workout,Workout,0.0,48.9,48.9,0,86.4,114.0,0.0,2024-07-21,[],[],1,4.0
